"spine","title","year","ccid","dbid"
"0499","Germany Year Zero","1948","297","1293153"
"0501","Paris, Texas","1984","1502","1302061"
"0502","Revanche","2008","85","3062588"
"0503","Lola Montès","1955","938","1293401"
"0504","Hunger","2008","477","3070921"
"0505","Make Way for Tomorrow","1937","2350","1302017"
"0506","Dillinger Is Dead","1969","21641","1308666"
"0507","Bigger Than Life","1956","1929","1855271"
"0509","Ossos","1997","21942","1768144"
"0510","In Vanda’s Room","2000","20820","1829859"
"0511","Colossal Youth","2006","439","1937459"
"0512","Vivre sa vie","1962","3060","1296757"
"0513","Summer Hours","2008","473","1949376"
"0514","Ride with the Devil","1999","17282","1293303"
"0515","The Fugitive Kind","1960","17998","1293217"
"0516","Stagecoach","1939","980","1298134"
"0518","The Wonder Ring","1955","23953","2054943"
"0518","The Dead","1960","23953","1478040"
"0518","Two: Creeley/McClure","1965","23953","5135423"
"0518","23rd Psalm Branch: Part I","1967","23953","5136015"
"0518","23rd Psalm Branch: Part II","1978","23953","5136013"
"0518","Scenes From Under Childhood","1967","23953","1855325"
"0518","The Machine of Eden","1970","23953","5085901"
"0518","Star Garden","1974","23953","5136068"
"0518","Desert","1976","23953","5136161"
"0518","The Process","1972","23953","4149762"
"0518","Burial Path","1978","23953","5136171"
"0518","Duplicity III","1980","23953","5135978"
"0518","The Domain of the Moment","1977","23953","5149306"
"0518","Murder Psalm","1980","23953","2054951"
"0518","Arabic Numeral Series 12","1981","23953","5136009"
"0518","Visions in Meditation #1","1989","23953","5135683"
"0518","Visions in Meditation #2: Mesa Verde","1989","23953","5135682"
"0518","Visions in Meditation #3: Plato's Cave","1990","23953","5135417"
"0518","Visions in Meditation #4: D.H. Lawrence","1990","23953","5135427"
"0518","Unconscious London Strata","1981","23953","5135846"
"0518","Boulder Blues and Pearls and...","1992","23953","5135579"
"0518","The Mammals of Victoria","1994","23953","5135511"
"0518","First Hymn to the Night - Novalis","1994","23953","5135538"
"0518","I Take These Truths","1994","23953","5110728"
"0518","The Cat of the Worm's Green Realm","1997","23953","5135319"
